"PassengerId"	"Survived"	"Pclass"	"Sex"	"Age"	"SibSp"	"Parch"	"Fare"
"85"	85	1	2	"1"	17	0	0	10.5
"86"	86	1	3	"1"	33	3	0	15.85
"87"	87	0	3	"0"	16	1	3	34.375
"88"	88	0	3	"0"	NA	0	0	8.05
"89"	89	1	1	"1"	23	3	2	263
"90"	90	0	3	"0"	24	0	0	8.05
"91"	91	0	3	"0"	29	0	0	8.05
"92"	92	0	3	"0"	20	0	0	7.8542
"93"	93	0	1	"0"	46	1	0	61.175
"94"	94	0	3	"0"	26	1	2	20.575
"95"	95	0	3	"0"	59	0	0	7.25
"96"	96	0	3	"0"	NA	0	0	8.05
"97"	97	0	1	"0"	71	0	0	34.6542
"98"	98	1	1	"0"	23	0	1	63.3583
"99"	99	1	2	"1"	34	0	1	23
"100"	100	0	2	"0"	34	1	0	26
"101"	101	0	3	"1"	28	0	0	7.8958
"102"	102	0	3	"0"	NA	0	0	7.8958
"103"	103	0	1	"0"	21	0	1	77.2875
"104"	104	0	3	"0"	33	0	0	8.6542
"105"	105	0	3	"0"	37	2	0	7.925
"106"	106	0	3	"0"	28	0	0	7.8958
"107"	107	1	3	"1"	21	0	0	7.65
"108"	108	1	3	"0"	NA	0	0	7.775
"109"	109	0	3	"0"	38	0	0	7.8958
"110"	110	1	3	"1"	NA	1	0	24.15
"111"	111	0	1	"0"	47	0	0	52
"112"	112	0	3	"1"	14.5	1	0	14.4542
"113"	113	0	3	"0"	22	0	0	8.05
"114"	114	0	3	"1"	20	1	0	9.825
"115"	115	0	3	"1"	17	0	0	14.4583
"116"	116	0	3	"0"	21	0	0	7.925
"117"	117	0	3	"0"	70.5	0	0	7.75
"118"	118	0	2	"0"	29	1	0	21
"119"	119	0	1	"0"	24	0	1	247.5208
"120"	120	0	3	"1"	2	4	2	31.275
"121"	121	0	2	"0"	21	2	0	73.5
"122"	122	0	3	"0"	NA	0	0	8.05
"123"	123	0	2	"0"	32.5	1	0	30.0708
"124"	124	1	2	"1"	32.5	0	0	13
"125"	125	0	1	"0"	54	0	1	77.2875
"126"	126	1	3	"0"	12	1	0	11.2417
"127"	127	0	3	"0"	NA	0	0	7.75
"128"	128	1	3	"0"	24	0	0	7.1417
"129"	129	1	3	"1"	NA	1	1	22.3583
"130"	130	0	3	"0"	45	0	0	6.975
"131"	131	0	3	"0"	33	0	0	7.8958
"132"	132	0	3	"0"	20	0	0	7.05
"133"	133	0	3	"1"	47	1	0	14.5
"134"	134	1	2	"1"	29	1	0	26
"135"	135	0	2	"0"	25	0	0	13
"136"	136	0	2	"0"	23	0	0	15.0458
"137"	137	1	1	"1"	19	0	2	26.2833
"138"	138	0	1	"0"	37	1	0	53.1
"139"	139	0	3	"0"	16	0	0	9.2167
"140"	140	0	1	"0"	24	0	0	79.2
"141"	141	0	3	"1"	NA	0	2	15.2458
"142"	142	1	3	"1"	22	0	0	7.75
"143"	143	1	3	"1"	24	1	0	15.85
"144"	144	0	3	"0"	19	0	0	6.75
"145"	145	0	2	"0"	18	0	0	11.5
"146"	146	0	2	"0"	19	1	1	36.75
"147"	147	1	3	"0"	27	0	0	7.7958
"148"	148	0	3	"1"	9	2	2	34.375
"149"	149	0	2	"0"	36.5	0	2	26
"150"	150	0	2	"0"	42	0	0	13
"151"	151	0	2	"0"	51	0	0	12.525
"152"	152	1	1	"1"	22	1	0	66.6
"153"	153	0	3	"0"	55.5	0	0	8.05
"154"	154	0	3	"0"	40.5	0	2	14.5
"155"	155	0	3	"0"	NA	0	0	7.3125
"156"	156	0	1	"0"	51	0	1	61.3792
"157"	157	1	3	"1"	16	0	0	7.7333
"158"	158	0	3	"0"	30	0	0	8.05
"159"	159	0	3	"0"	NA	0	0	8.6625
"160"	160	0	3	"0"	NA	8	2	69.55
"161"	161	0	3	"0"	44	0	1	16.1
"162"	162	1	2	"1"	40	0	0	15.75
"163"	163	0	3	"0"	26	0	0	7.775
"164"	164	0	3	"0"	17	0	0	8.6625
"165"	165	0	3	"0"	1	4	1	39.6875
"166"	166	1	3	"0"	9	0	2	20.525
"167"	167	1	1	"1"	NA	0	1	55
"168"	168	0	3	"1"	45	1	4	27.9
"169"	169	0	1	"0"	NA	0	0	25.925
"170"	170	0	3	"0"	28	0	0	56.4958
"171"	171	0	1	"0"	61	0	0	33.5
"172"	172	0	3	"0"	4	4	1	29.125
"173"	173	1	3	"1"	1	1	1	11.1333
"174"	174	0	3	"0"	21	0	0	7.925
"175"	175	0	1	"0"	56	0	0	30.6958
"176"	176	0	3	"0"	18	1	1	7.8542
"177"	177	0	3	"0"	NA	3	1	25.4667
"178"	178	0	1	"1"	50	0	0	28.7125
"179"	179	0	2	"0"	30	0	0	13
"180"	180	0	3	"0"	36	0	0	0
"181"	181	0	3	"1"	NA	8	2	69.55
"182"	182	0	2	"0"	NA	0	0	15.05
"183"	183	0	3	"0"	9	4	2	31.3875
"184"	184	1	2	"0"	1	2	1	39
"185"	185	1	3	"1"	4	0	2	22.025
"186"	186	0	1	"0"	NA	0	0	50
"187"	187	1	3	"1"	NA	1	0	15.5
"188"	188	1	1	"0"	45	0	0	26.55
"189"	189	0	3	"0"	40	1	1	15.5
"190"	190	0	3	"0"	36	0	0	7.8958
"191"	191	1	2	"1"	32	0	0	13
"192"	192	0	2	"0"	19	0	0	13
"193"	193	1	3	"1"	19	1	0	7.8542
"194"	194	1	2	"0"	3	1	1	26
"195"	195	1	1	"1"	44	0	0	27.7208
"196"	196	1	1	"1"	58	0	0	146.5208
"197"	197	0	3	"0"	NA	0	0	7.75
"198"	198	0	3	"0"	42	0	1	8.4042
"199"	199	1	3	"1"	NA	0	0	7.75
"200"	200	0	2	"1"	24	0	0	13
"201"	201	0	3	"0"	28	0	0	9.5
"202"	202	0	3	"0"	NA	8	2	69.55
"203"	203	0	3	"0"	34	0	0	6.4958
"204"	204	0	3	"0"	45.5	0	0	7.225
"205"	205	1	3	"0"	18	0	0	8.05
"206"	206	0	3	"1"	2	0	1	10.4625
"207"	207	0	3	"0"	32	1	0	15.85
"208"	208	1	3	"0"	26	0	0	18.7875
"209"	209	1	3	"1"	16	0	0	7.75
"210"	210	1	1	"0"	40	0	0	31
"211"	211	0	3	"0"	24	0	0	7.05
"212"	212	1	2	"1"	35	0	0	21
"213"	213	0	3	"0"	22	0	0	7.25
"214"	214	0	2	"0"	30	0	0	13
"215"	215	0	3	"0"	NA	1	0	7.75
"216"	216	1	1	"1"	31	1	0	113.275
"217"	217	1	3	"1"	27	0	0	7.925
"218"	218	0	2	"0"	42	1	0	27
"219"	219	1	1	"1"	32	0	0	76.2917
"220"	220	0	2	"0"	30	0	0	10.5
"221"	221	1	3	"0"	16	0	0	8.05
"222"	222	0	2	"0"	27	0	0	13
"223"	223	0	3	"0"	51	0	0	8.05
"224"	224	0	3	"0"	NA	0	0	7.8958
"225"	225	1	1	"0"	38	1	0	90
"226"	226	0	3	"0"	22	0	0	9.35
"227"	227	1	2	"0"	19	0	0	10.5
"228"	228	0	3	"0"	20.5	0	0	7.25
"229"	229	0	2	"0"	18	0	0	13
"230"	230	0	3	"1"	NA	3	1	25.4667
"231"	231	1	1	"1"	35	1	0	83.475
"232"	232	0	3	"0"	29	0	0	7.775
"233"	233	0	2	"0"	59	0	0	13.5
"234"	234	1	3	"1"	5	4	2	31.3875
"235"	235	0	2	"0"	24	0	0	10.5
"236"	236	0	3	"1"	NA	0	0	7.55
"237"	237	0	2	"0"	44	1	0	26
"238"	238	1	2	"1"	8	0	2	26.25
"239"	239	0	2	"0"	19	0	0	10.5
"240"	240	0	2	"0"	33	0	0	12.275
"241"	241	0	3	"1"	NA	1	0	14.4542
"242"	242	1	3	"1"	NA	1	0	15.5
"243"	243	0	2	"0"	29	0	0	10.5
"244"	244	0	3	"0"	22	0	0	7.125
"245"	245	0	3	"0"	30	0	0	7.225
"246"	246	0	1	"0"	44	2	0	90
"247"	247	0	3	"1"	25	0	0	7.775
"248"	248	1	2	"1"	24	0	2	14.5
"249"	249	1	1	"0"	37	1	1	52.5542
"250"	250	0	2	"0"	54	1	0	26
"251"	251	0	3	"0"	NA	0	0	7.25
"252"	252	0	3	"1"	29	1	1	10.4625
"253"	253	0	1	"0"	62	0	0	26.55
"254"	254	0	3	"0"	30	1	0	16.1
"255"	255	0	3	"1"	41	0	2	20.2125
"256"	256	1	3	"1"	29	0	2	15.2458
"257"	257	1	1	"1"	NA	0	0	79.2
"258"	258	1	1	"1"	30	0	0	86.5
"259"	259	1	1	"1"	35	0	0	512.3292
"260"	260	1	2	"1"	50	0	1	26
"261"	261	0	3	"0"	NA	0	0	7.75
"262"	262	1	3	"0"	3	4	2	31.3875
"263"	263	0	1	"0"	52	1	1	79.65
"264"	264	0	1	"0"	40	0	0	0
"265"	265	0	3	"1"	NA	0	0	7.75
"266"	266	0	2	"0"	36	0	0	10.5
"267"	267	0	3	"0"	16	4	1	39.6875
"268"	268	1	3	"0"	25	1	0	7.775
"269"	269	1	1	"1"	58	0	1	153.4625
"270"	270	1	1	"1"	35	0	0	135.6333
"271"	271	0	1	"0"	NA	0	0	31
"272"	272	1	3	"0"	25	0	0	0
"273"	273	1	2	"1"	41	0	1	19.5
"274"	274	0	1	"0"	37	0	1	29.7
"275"	275	1	3	"1"	NA	0	0	7.75
"276"	276	1	1	"1"	63	1	0	77.9583
"277"	277	0	3	"1"	45	0	0	7.75
"278"	278	0	2	"0"	NA	0	0	0
"279"	279	0	3	"0"	7	4	1	29.125
"280"	280	1	3	"1"	35	1	1	20.25
"281"	281	0	3	"0"	65	0	0	7.75
"282"	282	0	3	"0"	28	0	0	7.8542
"283"	283	0	3	"0"	16	0	0	9.5
"284"	284	1	3	"0"	19	0	0	8.05
"285"	285	0	1	"0"	NA	0	0	26
"286"	286	0	3	"0"	33	0	0	8.6625
"287"	287	1	3	"0"	30	0	0	9.5
"288"	288	0	3	"0"	22	0	0	7.8958
"289"	289	1	2	"0"	42	0	0	13
"290"	290	1	3	"1"	22	0	0	7.75
"291"	291	1	1	"1"	26	0	0	78.85
"292"	292	1	1	"1"	19	1	0	91.0792
"293"	293	0	2	"0"	36	0	0	12.875
"294"	294	0	3	"1"	24	0	0	8.85
"295"	295	0	3	"0"	24	0	0	7.8958
"296"	296	0	1	"0"	NA	0	0	27.7208
"297"	297	0	3	"0"	23.5	0	0	7.2292
"298"	298	0	1	"1"	2	1	2	151.55
"299"	299	1	1	"0"	NA	0	0	30.5
"300"	300	1	1	"1"	50	0	1	247.5208
"301"	301	1	3	"1"	NA	0	0	7.75
"302"	302	1	3	"0"	NA	2	0	23.25
"303"	303	0	3	"0"	19	0	0	0
"304"	304	1	2	"1"	NA	0	0	12.35
"305"	305	0	3	"0"	NA	0	0	8.05
"306"	306	1	1	"0"	0.92	1	2	151.55
"307"	307	1	1	"1"	NA	0	0	110.8833
"308"	308	1	1	"1"	17	1	0	108.9
"309"	309	0	2	"0"	30	1	0	24
"310"	310	1	1	"1"	30	0	0	56.9292
"311"	311	1	1	"1"	24	0	0	83.1583
"312"	312	1	1	"1"	18	2	2	262.375
"313"	313	0	2	"1"	26	1	1	26
"314"	314	0	3	"0"	28	0	0	7.8958
"315"	315	0	2	"0"	43	1	1	26.25
"316"	316	1	3	"1"	26	0	0	7.8542
"317"	317	1	2	"1"	24	1	0	26
"318"	318	0	2	"0"	54	0	0	14
"319"	319	1	1	"1"	31	0	2	164.8667
"320"	320	1	1	"1"	40	1	1	134.5
"321"	321	0	3	"0"	22	0	0	7.25
"322"	322	0	3	"0"	27	0	0	7.8958
"323"	323	1	2	"1"	30	0	0	12.35
"324"	324	1	2	"1"	22	1	1	29
"325"	325	0	3	"0"	NA	8	2	69.55
"326"	326	1	1	"1"	36	0	0	135.6333
"327"	327	0	3	"0"	61	0	0	6.2375
"328"	328	1	2	"1"	36	0	0	13
"329"	329	1	3	"1"	31	1	1	20.525
"330"	330	1	1	"1"	16	0	1	57.9792
"331"	331	1	3	"1"	NA	2	0	23.25
"332"	332	0	1	"0"	45.5	0	0	28.5
"333"	333	0	1	"0"	38	0	1	153.4625
"334"	334	0	3	"0"	16	2	0	18
"335"	335	1	1	"1"	NA	1	0	133.65
"336"	336	0	3	"0"	NA	0	0	7.8958
"337"	337	0	1	"0"	29	1	0	66.6
"338"	338	1	1	"1"	41	0	0	134.5
"339"	339	1	3	"0"	45	0	0	8.05
"340"	340	0	1	"0"	45	0	0	35.5
"341"	341	1	2	"0"	2	1	1	26
"342"	342	1	1	"1"	24	3	2	263
"343"	343	0	2	"0"	28	0	0	13
"344"	344	0	2	"0"	25	0	0	13
"345"	345	0	2	"0"	36	0	0	13
"346"	346	1	2	"1"	24	0	0	13
"347"	347	1	2	"1"	40	0	0	13
"348"	348	1	3	"1"	NA	1	0	16.1
"349"	349	1	3	"0"	3	1	1	15.9
"350"	350	0	3	"0"	42	0	0	8.6625
"351"	351	0	3	"0"	23	0	0	9.225
"352"	352	0	1	"0"	NA	0	0	35
"353"	353	0	3	"0"	15	1	1	7.2292
"354"	354	0	3	"0"	25	1	0	17.8
"355"	355	0	3	"0"	NA	0	0	7.225
"356"	356	0	3	"0"	28	0	0	9.5
"357"	357	1	1	"1"	22	0	1	55
"358"	358	0	2	"1"	38	0	0	13
"359"	359	1	3	"1"	NA	0	0	7.8792
"360"	360	1	3	"1"	NA	0	0	7.8792
"361"	361	0	3	"0"	40	1	4	27.9
"362"	362	0	2	"0"	29	1	0	27.7208
"363"	363	0	3	"1"	45	0	1	14.4542
"364"	364	0	3	"0"	35	0	0	7.05
"365"	365	0	3	"0"	NA	1	0	15.5
"366"	366	0	3	"0"	30	0	0	7.25
"367"	367	1	1	"1"	60	1	0	75.25
"368"	368	1	3	"1"	NA	0	0	7.2292
"369"	369	1	3	"1"	NA	0	0	7.75
"370"	370	1	1	"1"	24	0	0	69.3
"371"	371	1	1	"0"	25	1	0	55.4417
"372"	372	0	3	"0"	18	1	0	6.4958
"373"	373	0	3	"0"	19	0	0	8.05
"374"	374	0	1	"0"	22	0	0	135.6333
"375"	375	0	3	"1"	3	3	1	21.075
"376"	376	1	1	"1"	NA	1	0	82.1708
"377"	377	1	3	"1"	22	0	0	7.25
"378"	378	0	1	"0"	27	0	2	211.5
"379"	379	0	3	"0"	20	0	0	4.0125
"380"	380	0	3	"0"	19	0	0	7.775
"381"	381	1	1	"1"	42	0	0	227.525
"382"	382	1	3	"1"	1	0	2	15.7417
"383"	383	0	3	"0"	32	0	0	7.925
"384"	384	1	1	"1"	35	1	0	52
"385"	385	0	3	"0"	NA	0	0	7.8958
"386"	386	0	2	"0"	18	0	0	73.5
"387"	387	0	3	"0"	1	5	2	46.9
"388"	388	1	2	"1"	36	0	0	13
"389"	389	0	3	"0"	NA	0	0	7.7292
"390"	390	1	2	"1"	17	0	0	12
"391"	391	1	1	"0"	36	1	2	120
"392"	392	1	3	"0"	21	0	0	7.7958
"393"	393	0	3	"0"	28	2	0	7.925
"394"	394	1	1	"1"	23	1	0	113.275
"395"	395	1	3	"1"	24	0	2	16.7
"396"	396	0	3	"0"	22	0	0	7.7958
"397"	397	0	3	"1"	31	0	0	7.8542
"398"	398	0	2	"0"	46	0	0	26
"399"	399	0	2	"0"	23	0	0	10.5
"400"	400	1	2	"1"	28	0	0	12.65
"401"	401	1	3	"0"	39	0	0	7.925
"402"	402	0	3	"0"	26	0	0	8.05
"403"	403	0	3	"1"	21	1	0	9.825
"404"	404	0	3	"0"	28	1	0	15.85
"405"	405	0	3	"1"	20	0	0	8.6625
"406"	406	0	2	"0"	34	1	0	21
"407"	407	0	3	"0"	51	0	0	7.75
"408"	408	1	2	"0"	3	1	1	18.75
"409"	409	0	3	"0"	21	0	0	7.775
"410"	410	0	3	"1"	NA	3	1	25.4667
"411"	411	0	3	"0"	NA	0	0	7.8958
"412"	412	0	3	"0"	NA	0	0	6.8583
"413"	413	1	1	"1"	33	1	0	90
"414"	414	0	2	"0"	NA	0	0	0
"415"	415	1	3	"0"	44	0	0	7.925
"416"	416	0	3	"1"	NA	0	0	8.05
"417"	417	1	2	"1"	34	1	1	32.5
"418"	418	1	2	"1"	18	0	2	13
"419"	419	0	2	"0"	30	0	0	13
"420"	420	0	3	"1"	10	0	2	24.15
"421"	421	0	3	"0"	NA	0	0	7.8958
"422"	422	0	3	"0"	21	0	0	7.7333
"423"	423	0	3	"0"	29	0	0	7.875
"424"	424	0	3	"1"	28	1	1	14.4
"425"	425	0	3	"0"	18	1	1	20.2125
"426"	426	0	3	"0"	NA	0	0	7.25
"427"	427	1	2	"1"	28	1	0	26
"428"	428	1	2	"1"	19	0	0	26
"429"	429	0	3	"0"	NA	0	0	7.75
"430"	430	1	3	"0"	32	0	0	8.05
"431"	431	1	1	"0"	28	0	0	26.55
"432"	432	1	3	"1"	NA	1	0	16.1
"433"	433	1	2	"1"	42	1	0	26
"434"	434	0	3	"0"	17	0	0	7.125
"435"	435	0	1	"0"	50	1	0	55.9
"436"	436	1	1	"1"	14	1	2	120
"437"	437	0	3	"1"	21	2	2	34.375
"438"	438	1	2	"1"	24	2	3	18.75
"439"	439	0	1	"0"	64	1	4	263
"440"	440	0	2	"0"	31	0	0	10.5
"441"	441	1	2	"1"	45	1	1	26.25
"442"	442	0	3	"0"	20	0	0	9.5
"443"	443	0	3	"0"	25	1	0	7.775
"444"	444	1	2	"1"	28	0	0	13
"445"	445	1	3	"0"	NA	0	0	8.1125
"446"	446	1	1	"0"	4	0	2	81.8583
"447"	447	1	2	"1"	13	0	1	19.5
"448"	448	1	1	"0"	34	0	0	26.55
"449"	449	1	3	"1"	5	2	1	19.2583
"450"	450	1	1	"0"	52	0	0	30.5
"451"	451	0	2	"0"	36	1	2	27.75
"452"	452	0	3	"0"	NA	1	0	19.9667
"453"	453	0	1	"0"	30	0	0	27.75
"454"	454	1	1	"0"	49	1	0	89.1042
"455"	455	0	3	"0"	NA	0	0	8.05
"456"	456	1	3	"0"	29	0	0	7.8958
"457"	457	0	1	"0"	65	0	0	26.55
"458"	458	1	1	"1"	NA	1	0	51.8625
"459"	459	1	2	"1"	50	0	0	10.5
"460"	460	0	3	"0"	NA	0	0	7.75
"461"	461	1	1	"0"	48	0	0	26.55
"462"	462	0	3	"0"	34	0	0	8.05
"463"	463	0	1	"0"	47	0	0	38.5
"464"	464	0	2	"0"	48	0	0	13
"465"	465	0	3	"0"	NA	0	0	8.05
"466"	466	0	3	"0"	38	0	0	7.05
"467"	467	0	2	"0"	NA	0	0	0
"468"	468	0	1	"0"	56	0	0	26.55
"469"	469	0	3	"0"	NA	0	0	7.725
"470"	470	1	3	"1"	0.75	2	1	19.2583
"471"	471	0	3	"0"	NA	0	0	7.25
"472"	472	0	3	"0"	38	0	0	8.6625
"473"	473	1	2	"1"	33	1	2	27.75
"474"	474	1	2	"1"	23	0	0	13.7917
"475"	475	0	3	"1"	22	0	0	9.8375
"476"	476	0	1	"0"	NA	0	0	52
"477"	477	0	2	"0"	34	1	0	21
"478"	478	0	3	"0"	29	1	0	7.0458
"479"	479	0	3	"0"	22	0	0	7.5208
"480"	480	1	3	"1"	2	0	1	12.2875
"481"	481	0	3	"0"	9	5	2	46.9
"482"	482	0	2	"0"	NA	0	0	0
"483"	483	0	3	"0"	50	0	0	8.05
"484"	484	1	3	"1"	63	0	0	9.5875
"485"	485	1	1	"0"	25	1	0	91.0792
"486"	486	0	3	"1"	NA	3	1	25.4667
"487"	487	1	1	"1"	35	1	0	90
"488"	488	0	1	"0"	58	0	0	29.7
"489"	489	0	3	"0"	30	0	0	8.05
"490"	490	1	3	"0"	9	1	1	15.9
"491"	491	0	3	"0"	NA	1	0	19.9667
"492"	492	0	3	"0"	21	0	0	7.25
"493"	493	0	1	"0"	55	0	0	30.5
"494"	494	0	1	"0"	71	0	0	49.5042
"495"	495	0	3	"0"	21	0	0	8.05
"496"	496	0	3	"0"	NA	0	0	14.4583
"497"	497	1	1	"1"	54	1	0	78.2667
"498"	498	0	3	"0"	NA	0	0	15.1
"499"	499	0	1	"1"	25	1	2	151.55
"500"	500	0	3	"0"	24	0	0	7.7958
"501"	501	0	3	"0"	17	0	0	8.6625
"502"	502	0	3	"1"	21	0	0	7.75
"503"	503	0	3	"1"	NA	0	0	7.6292
"504"	504	0	3	"1"	37	0	0	9.5875
"505"	505	1	1	"1"	16	0	0	86.5
"506"	506	0	1	"0"	18	1	0	108.9
"507"	507	1	2	"1"	33	0	2	26
"508"	508	1	1	"0"	NA	0	0	26.55
"509"	509	0	3	"0"	28	0	0	22.525
"510"	510	1	3	"0"	26	0	0	56.4958
"511"	511	1	3	"0"	29	0	0	7.75
"512"	512	0	3	"0"	NA	0	0	8.05
"513"	513	1	1	"0"	36	0	0	26.2875
"514"	514	1	1	"1"	54	1	0	59.4
"515"	515	0	3	"0"	24	0	0	7.4958
"516"	516	0	1	"0"	47	0	0	34.0208
"517"	517	1	2	"1"	34	0	0	10.5
"518"	518	0	3	"0"	NA	0	0	24.15
"519"	519	1	2	"1"	36	1	0	26
"520"	520	0	3	"0"	32	0	0	7.8958
"521"	521	1	1	"1"	30	0	0	93.5
"522"	522	0	3	"0"	22	0	0	7.8958
"523"	523	0	3	"0"	NA	0	0	7.225
"524"	524	1	1	"1"	44	0	1	57.9792
"525"	525	0	3	"0"	NA	0	0	7.2292
"526"	526	0	3	"0"	40.5	0	0	7.75
"527"	527	1	2	"1"	50	0	0	10.5
"528"	528	0	1	"0"	NA	0	0	221.7792
"529"	529	0	3	"0"	39	0	0	7.925
"530"	530	0	2	"0"	23	2	1	11.5
"531"	531	1	2	"1"	2	1	1	26
"532"	532	0	3	"0"	NA	0	0	7.2292
"533"	533	0	3	"0"	17	1	1	7.2292
"534"	534	1	3	"1"	NA	0	2	22.3583
"535"	535	0	3	"1"	30	0	0	8.6625
"536"	536	1	2	"1"	7	0	2	26.25
"537"	537	0	1	"0"	45	0	0	26.55
"538"	538	1	1	"1"	30	0	0	106.425
"539"	539	0	3	"0"	NA	0	0	14.5
"540"	540	1	1	"1"	22	0	2	49.5
"541"	541	1	1	"1"	36	0	2	71
"542"	542	0	3	"1"	9	4	2	31.275
"543"	543	0	3	"1"	11	4	2	31.275
"544"	544	1	2	"0"	32	1	0	26
"545"	545	0	1	"0"	50	1	0	106.425
"546"	546	0	1	"0"	64	0	0	26
"547"	547	1	2	"1"	19	1	0	26
"548"	548	1	2	"0"	NA	0	0	13.8625
"549"	549	0	3	"0"	33	1	1	20.525
"550"	550	1	2	"0"	8	1	1	36.75
"551"	551	1	1	"0"	17	0	2	110.8833
"552"	552	0	2	"0"	27	0	0	26
"553"	553	0	3	"0"	NA	0	0	7.8292
"554"	554	1	3	"0"	22	0	0	7.225
"555"	555	1	3	"1"	22	0	0	7.775
"556"	556	0	1	"0"	62	0	0	26.55
"557"	557	1	1	"1"	48	1	0	39.6
"558"	558	0	1	"0"	NA	0	0	227.525
"559"	559	1	1	"1"	39	1	1	79.65
"560"	560	1	3	"1"	36	1	0	17.4
"561"	561	0	3	"0"	NA	0	0	7.75
"562"	562	0	3	"0"	40	0	0	7.8958
"563"	563	0	2	"0"	28	0	0	13.5
"564"	564	0	3	"0"	NA	0	0	8.05
"565"	565	0	3	"1"	NA	0	0	8.05
"566"	566	0	3	"0"	24	2	0	24.15
"567"	567	0	3	"0"	19	0	0	7.8958
"568"	568	0	3	"1"	29	0	4	21.075
"569"	569	0	3	"0"	NA	0	0	7.2292
"570"	570	1	3	"0"	32	0	0	7.8542
"571"	571	1	2	"0"	62	0	0	10.5
"572"	572	1	1	"1"	53	2	0	51.4792
"573"	573	1	1	"0"	36	0	0	26.3875
